Worker #1 | 04997/28708 | 2026/03/06/09/20260306_093004_liveData_batch2.parquet | 22.55s | 23.0 MB | SKIPPED (already in target schema)
Worker #3 | 04998/28708 | 2026/03/06/09/20260306_093013_liveData_batch7.parquet | 14.13s | 23.0 MB | SKIPPED (already in target schema)
Worker #4 | 04999/28708 | 2026/03/06/09/20260306_094509_liveData_batch4.parquet | 9.60s | 22.9 MB | SKIPPED (already in target schema)
Worker #7 | 05000/28708 | 2026/03/06/09/20260306_094505_liveData_batch2.parquet | 14.23s | 23.1 MB | SKIPPED (already in target schema)
Worker #6 | 05001/28708 | 2026/03/06/09/20260306_093009_liveData_batch5.parquet | 28.31s | 22.9 MB | SKIPPED (already in target schema)
Worker #6 | 05002/28708 | 2026/03/06/09/20260306_094519_liveData_batch10.parquet | 0.32s | 194.5 KB | SKIPPED (already in target schema)
Worker #5 | 05003/28708 | 2026/03/06/09/20260306_093016_liveData_batch9.parquet | 19.98s | 23.0 MB | SKIPPED (already in target schema)
Worker #2 | 05004/28708 | 2026/03/06/09/20260306_094507_liveData_batch3.parquet | 14.64s | 23.0 MB | SKIPPED (already in target schema)
Worker #8 | 05005/28708 | 2026/03/06/09/20260306_094510_liveData_batch5.parquet | 14.31s | 23.0 MB | SKIPPED (already in target schema)
Worker #1 | 05006/28708 | 2026/03/06/09/20260306_094512_liveData_batch6.parquet | 17.36s | 23.1 MB | SKIPPED (already in target schema)
Worker #7 | 05007/28708 | 2026/03/06/09/20260306_094518_liveData_batch9.parquet | 9.64s | 23.0 MB | SKIPPED (already in target schema)
Worker #3 | 05008/28708 | 2026/03/06/09/20260306_094514_liveData_batch7.parquet | 19.80s | 23.1 MB | SKIPPED (already in target schema)
Worker #5 | 05009/28708 | 2026/03/06/10/20260306_100007_liveData_batch2.parquet | 13.78s | 23.2 MB | SKIPPED (already in target schema)
Worker #4 | 05010/28708 | 2026/03/06/09/20260306_094516_liveData_batch8.parquet | 15.97s | 23.0 MB | SKIPPED (already in target schema)
Worker #4 | 05011/28708 | 2026/03/06/10/20260306_100018_liveData_batch10.parquet | 0.22s | 181.0 KB | SKIPPED (already in target schema)
Worker #2 | 05012/28708 | 2026/03/06/10/20260306_100008_liveData_batch3.parquet | 16.87s | 22.9 MB | SKIPPED (already in target schema)
Worker #1 | 05013/28708 | 2026/03/06/10/20260306_100012_liveData_batch5.parquet | 13.17s | 23.0 MB | SKIPPED (already in target schema)
Worker #8 | 05014/28708 | 2026/03/06/10/20260306_100010_liveData_batch4.parquet | 18.39s | 23.0 MB | SKIPPED (already in target schema)
Worker #6 | 05015/28708 | 2026/03/06/10/20260306_100005_liveData_batch1.parquet | 22.41s | 23.1 MB | SKIPPED (already in target schema)
Worker #7 | 05016/28708 | 2026/03/06/10/20260306_100013_liveData_batch6.parquet | 13.78s | 23.0 MB | SKIPPED (already in target schema)
Worker #2 | 05017/28708 | 2026/03/06/10/20260306_101505_liveData_batch1.parquet | 11.90s | 22.9 MB | SKIPPED (already in target schema)
Worker #3 | 05018/28708 | 2026/03/06/10/20260306_100015_liveData_batch7.parquet | 19.86s | 23.0 MB | SKIPPED (already in target schema)
Worker #5 | 05019/28708 | 2026/03/06/10/20260306_100016_liveData_batch8.parquet | 18.82s | 23.0 MB | SKIPPED (already in target schema)
Worker #7 | 05020/28708 | 2026/03/06/10/20260306_101513_liveData_batch5.parquet | 10.42s | 23.0 MB | SKIPPED (already in target schema)
Worker #4 | 05021/28708 | 2026/03/06/10/20260306_100018_liveData_batch9.parquet | 19.72s | 23.0 MB | SKIPPED (already in target schema)
Worker #4 | 05022/28708 | 2026/03/06/10/20260306_101520_liveData_batch10.parquet | 0.13s | 37.2 KB | SKIPPED (already in target schema)
Worker #6 | 05023/28708 | 2026/03/06/10/20260306_101511_liveData_batch4.parquet | 15.20s | 23.1 MB | SKIPPED (already in target schema)
Worker #8 | 05024/28708 | 2026/03/06/10/20260306_101509_liveData_batch3.parquet | 16.70s | 23.0 MB | SKIPPED (already in target schema)
Worker #1 | 05025/28708 | 2026/03/06/10/20260306_101507_liveData_batch2.parquet | 20.55s | 23.0 MB | SKIPPED (already in target schema)
Worker #3 | 05026/28708 | 2026/03/06/10/20260306_101516_liveData_batch7.parquet | 10.84s | 23.0 MB | SKIPPED (already in target schema)
Worker #7 | 05027/28708 | 2026/03/06/10/20260306_101519_liveData_batch9.parquet | 12.67s | 23.0 MB | SKIPPED (already in target schema)
Worker #4 | 05028/28708 | 2026/03/06/10/20260306_103006_liveData_batch1.parquet | 14.37s | 23.1 MB | SKIPPED (already in target schema)
Worker #6 | 05029/28708 | 2026/03/06/10/20260306_103008_liveData_batch2.parquet | 12.56s | 23.1 MB | SKIPPED (already in target schema)
Worker #2 | 05030/28708 | 2026/03/06/10/20260306_101514_liveData_batch6.parquet | 20.62s | 23.0 MB | SKIPPED (already in target schema)
Worker #5 | 05031/28708 | 2026/03/06/10/20260306_101518_liveData_batch8.parquet | 17.74s | 23.0 MB | SKIPPED (already in target schema)
Worker #2 | 05032/28708 | 2026/03/06/10/20260306_103019_liveData_batch10.parquet | 0.36s | 149.7 KB | SKIPPED (already in target schema)
Worker #8 | 05033/28708 | 2026/03/06/10/20260306_103009_liveData_batch3.parquet | 17.55s | 23.2 MB | SKIPPED (already in target schema)
Worker #3 | 05034/28708 | 2026/03/06/10/20260306_103012_liveData_batch5.parquet | 17.48s | 23.2 MB | SKIPPED (already in target schema)
Worker #1 | 05035/28708 | 2026/03/06/10/20260306_103011_liveData_batch4.parquet | 18.58s | 23.2 MB | SKIPPED (already in target schema)
Worker #7 | 05036/28708 | 2026/03/06/10/20260306_103014_liveData_batch6.parquet | 14.52s | 23.2 MB | SKIPPED (already in target schema)
