Connecting to container 'datacloudlivedataiceberg', prefix '2026/04/06'...
Schema loaded: 9 column(s), 956 file(s), 4.5 GB total.
[Checkpoint] Skipping prefix '2026/04/06' — previous run was complete.
All prefixes in batch completed.
Starting — 2 transform(s), 8 worker(s) (Auto-Scale ON), 5 attempt(s)/file...
Listing complete: 956 file(s) found.
Worker #3 | 044/956 | 2026/04/06/00/20260406_004527_liveData_batch9.parquet | 1.88s | 5.0 MB | SKIPPED (already in target schema)
Worker #1 | 045/956 | 2026/04/06/01/20260406_010019_liveData_batch4.parquet | 1.29s | 4.9 MB | SKIPPED (already in target schema)
Worker #2 | 046/956 | 2026/04/06/01/20260406_010023_liveData_batch6.parquet | 1.25s | 4.8 MB | SKIPPED (already in target schema)
Worker #8 | 047/956 | 2026/04/06/01/20260406_010028_liveData_batch10.parquet | 0.23s | 1.9 MB | SKIPPED (already in target schema)
Worker #4 | 048/956 | 2026/04/06/01/20260406_010027_liveData_batch9.parquet | 0.99s | 4.9 MB | SKIPPED (already in target schema)
Worker #6 | 049/956 | 2026/04/06/01/20260406_010021_liveData_batch5.parquet | 1.49s | 4.8 MB | SKIPPED (already in target schema)
Worker #7 | 050/956 | 2026/04/06/01/20260406_010026_liveData_batch8.parquet | 1.34s | 4.8 MB | SKIPPED (already in target schema)
Worker #8 | 051/956 | 2026/04/06/01/20260406_011522_liveData_batch5.parquet | 0.76s | 4.8 MB | SKIPPED (already in target schema)
Worker #1 | 052/956 | 2026/04/06/01/20260406_011519_liveData_batch3.parquet | 1.31s | 4.8 MB | SKIPPED (already in target schema)
Worker #5 | 053/956 | 2026/04/06/01/20260406_011515_liveData_batch1.parquet | 1.40s | 4.9 MB | SKIPPED (already in target schema)
Worker #4 | 054/956 | 2026/04/06/01/20260406_011524_liveData_batch6.parquet | 1.14s | 4.8 MB | SKIPPED (already in target schema)
Worker #2 | 055/956 | 2026/04/06/01/20260406_011521_liveData_batch4.parquet | 1.34s | 5.0 MB | SKIPPED (already in target schema)
Worker #8 | 056/956 | 2026/04/06/01/20260406_011529_liveData_batch9.parquet | 0.64s | 4.9 MB | SKIPPED (already in target schema)
Worker #3 | 057/956 | 2026/04/06/01/20260406_011517_liveData_batch2.parquet | 1.65s | 4.9 MB | SKIPPED (already in target schema)
