Connecting to container 'datacloudlivedataiceberg', prefix '2026/03'...
Schema loaded: 9 column(s), 28708 file(s), 627.4 GB total.
Starting — 2 transform(s), 8 worker(s), 5 attempt(s)/file...
Listing complete: 28708 file(s) found.
Worker #5 | 00043/28708 | 2026/03/01/00/20260301_004524_liveData_batch9.parquet | 22.81s | 21.8 MB | SKIPPED (already in target schema)
Worker #3 | 00044/28708 | 2026/03/01/01/20260301_010014_liveData_batch4.parquet | 18.09s | 22.4 MB | SKIPPED (already in target schema)
Worker #7 | 00045/28708 | 2026/03/01/01/20260301_010028_liveData_batch10.parquet | 15.29s | 6.3 MB | SKIPPED (already in target schema)
Worker #8 | 00046/28708 | 2026/03/01/01/20260301_010017_liveData_batch5.parquet | 29.57s | 22.5 MB | SKIPPED (already in target schema)
Worker #2 | 00047/28708 | 2026/03/01/01/20260301_010019_liveData_batch6.parquet | 26.65s | 22.5 MB | SKIPPED (already in target schema)
Worker #6 | 00048/28708 | 2026/03/01/01/20260301_010023_liveData_batch8.parquet | 26.27s | 22.4 MB | SKIPPED (already in target schema)
Worker #1 | 00049/28708 | 2026/03/01/01/20260301_010026_liveData_batch9.parquet | 26.06s | 22.6 MB | SKIPPED (already in target schema)
Worker #4 | 00050/28708 | 2026/03/01/01/20260301_010021_liveData_batch7.parquet | 28.50s | 22.4 MB | SKIPPED (already in target schema)
Worker #6 | 00051/28708 | 2026/03/01/01/20260301_011520_liveData_batch6.parquet | 11.92s | 21.9 MB | SKIPPED (already in target schema)
Worker #1 | 00052/28708 | 2026/03/01/01/20260301_011523_liveData_batch7.parquet | 12.96s | 21.7 MB | SKIPPED (already in target schema)
Worker #5 | 00053/28708 | 2026/03/01/01/20260301_011506_liveData_batch1.parquet | 32.39s | 22.3 MB | SKIPPED (already in target schema)
Worker #3 | 00054/28708 | 2026/03/01/01/20260301_011510_liveData_batch2.parquet | 32.55s | 22.1 MB | SKIPPED (already in target schema)
Worker #7 | 00055/28708 | 2026/03/01/01/20260301_011513_liveData_batch3.parquet | 19.77s | 21.9 MB | SKIPPED (already in target schema)
Worker #2 | 00056/28708 | 2026/03/01/01/20260301_011518_liveData_batch5.parquet | 14.57s | 21.9 MB | SKIPPED (already in target schema)
Worker #8 | 00057/28708 | 2026/03/01/01/20260301_011516_liveData_batch4.parquet | 19.84s | 21.8 MB | SKIPPED (already in target schema)
Worker #1 | 00058/28708 | 2026/03/01/01/20260301_011530_liveData_batch10.parquet | 3.86s | 6.3 MB | SKIPPED (already in target schema)
Worker #4 | 00059/28708 | 2026/03/01/01/20260301_011527_liveData_batch8.parquet | 16.09s | 21.7 MB | SKIPPED (already in target schema)
Worker #3 | 00060/28708 | 2026/03/01/01/20260301_013014_liveData_batch2.parquet | 11.52s | 22.5 MB | SKIPPED (already in target schema)
Worker #6 | 00061/28708 | 2026/03/01/01/20260301_011529_liveData_batch9.parquet | 14.22s | 21.9 MB | SKIPPED (already in target schema)
Worker #5 | 00062/28708 | 2026/03/01/01/20260301_013007_liveData_batch1.parquet | 15.63s | 22.4 MB | SKIPPED (already in target schema)
Worker #2 | 00063/28708 | 2026/03/01/01/20260301_013018_liveData_batch4.parquet | 16.77s | 22.6 MB | SKIPPED (already in target schema)
Worker #8 | 00064/28708 | 2026/03/01/01/20260301_013021_liveData_batch5.parquet | 16.51s | 22.6 MB | SKIPPED (already in target schema)
Worker #7 | 00065/28708 | 2026/03/01/01/20260301_013016_liveData_batch3.parquet | 17.68s | 22.8 MB | SKIPPED (already in target schema)
Worker #1 | 00066/28708 | 2026/03/01/01/20260301_013023_liveData_batch6.parquet | 15.98s | 22.8 MB | SKIPPED (already in target schema)
Worker #5 | 00067/28708 | 2026/03/01/01/20260301_013033_liveData_batch10.parquet | 4.36s | 6.6 MB | SKIPPED (already in target schema)
Worker #4 | 00068/28708 | 2026/03/01/01/20260301_013027_liveData_batch7.parquet | 15.90s | 22.7 MB | SKIPPED (already in target schema)
Worker #3 | 00069/28708 | 2026/03/01/01/20260301_013030_liveData_batch8.parquet | 10.84s | 22.7 MB | SKIPPED (already in target schema)
Worker #7 | 00070/28708 | 2026/03/01/01/20260301_014514_liveData_batch3.parquet | 8.08s | 22.5 MB | SKIPPED (already in target schema)
Worker #6 | 00071/28708 | 2026/03/01/01/20260301_013032_liveData_batch9.parquet | 18.83s | 22.7 MB | SKIPPED (already in target schema)
Worker #1 | 00072/28708 | 2026/03/01/01/20260301_014517_liveData_batch4.parquet | 13.72s | 22.4 MB | SKIPPED (already in target schema)
Worker #7 | 00073/28708 | 2026/03/01/01/20260301_014528_liveData_batch8.parquet | 7.59s | 22.4 MB | SKIPPED (already in target schema)
Worker #4 | 00074/28708 | 2026/03/01/01/20260301_014524_liveData_batch6.parquet | 14.93s | 22.4 MB | SKIPPED (already in target schema)
Worker #8 | 00075/28708 | 2026/03/01/01/20260301_014511_liveData_batch2.parquet | 18.78s | 22.5 MB | SKIPPED (already in target schema)
Worker #1 | 00076/28708 | 2026/03/01/01/20260301_014532_liveData_batch10.parquet | 3.74s | 6.5 MB | SKIPPED (already in target schema)
Worker #3 | 00077/28708 | 2026/03/01/01/20260301_014526_liveData_batch7.parquet | 14.71s | 22.6 MB | SKIPPED (already in target schema)
Worker #5 | 00078/28708 | 2026/03/01/01/20260301_014522_liveData_batch5.parquet | 18.28s | 22.3 MB | SKIPPED (already in target schema)
Worker #2 | 00079/28708 | 2026/03/01/01/20260301_014509_liveData_batch1.parquet | 24.07s | 22.6 MB | SKIPPED (already in target schema)
Worker #7 | 00080/28708 | 2026/03/01/02/20260301_020011_liveData_batch1.parquet | 9.99s | 22.5 MB | SKIPPED (already in target schema)
Worker #8 | 00081/28708 | 2026/03/01/02/20260301_020016_liveData_batch3.parquet | 12.57s | 22.3 MB | SKIPPED (already in target schema)
Worker #4 | 00082/28708 | 2026/03/01/02/20260301_020014_liveData_batch2.parquet | 14.33s | 22.3 MB | SKIPPED (already in target schema)
Worker #6 | 00083/28708 | 2026/03/01/01/20260301_014530_liveData_batch9.parquet | 18.57s | 22.4 MB | SKIPPED (already in target schema)
Worker #1 | 00084/28708 | 2026/03/01/02/20260301_020019_liveData_batch4.parquet | 14.02s | 22.4 MB | SKIPPED (already in target schema)
Worker #5 | 00085/28708 | 2026/03/01/02/20260301_020027_liveData_batch6.parquet | 12.99s | 22.2 MB | SKIPPED (already in target schema)
Worker #4 | 00086/28708 | 2026/03/01/02/20260301_020035_liveData_batch10.parquet | 4.42s | 6.2 MB | SKIPPED (already in target schema)
Worker #3 | 00087/28708 | 2026/03/01/02/20260301_020022_liveData_batch5.parquet | 17.21s | 22.3 MB | SKIPPED (already in target schema)
Worker #7 | 00088/28708 | 2026/03/01/02/20260301_020032_liveData_batch8.parquet | 15.09s | 22.2 MB | SKIPPED (already in target schema)
